"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"A2G06_RS00005",444,0.0766,-0.2748,130.73,0.7811,0.4263,0.5385,0.0602965862937529,-0.904999093421728,-1.28465856887271,"","chromosomal replication initiator protein DnaA",0
"A2G06_RS00010",371,0.0755,-0.0348,129.06,0.8352,0.433,0.5508,-0.652883198220645,0.662149497825304,0.434312495725715,"","DNA polymerase III subunit beta",0
"A2G06_RS00015",364,0.0687,-0.2849,130.1,0.7479,0.4788,0.3934,0.159015925636334,-0.448478059780119,-0.0313060294837634,"","DNA replication and repair protein RecF",0
"A2G06_RS00020",794,0.0743,-0.2746,129.41,0.896,0.4288,0.5221,-0.975528751748339,1.59298915146674,1.10307544697475,"","DNA topoisomerase (ATP-hydrolyzing) subunit B",0
"A2G06_RS00025",856,0.0561,-0.3283,129.81,0.9192,0.4331,0.5181,-1.3695489288329,1.79398412821801,0.959649171472986,"","DNA gyrase subunit A",0
"A2G06_RS00030",522,0.09,-0.2496,131.5,0.83,0.498,0.3725,-0.660170690385046,1.11689478658841,0.74475292593947,"","HEAT repeat domain-containing protein",0
"A2G06_RS00035",334,0.0479,0.2683,123.93,0.8259,0.4905,0.3294,-0.858961409752023,0.828604797424717,-0.697233710845074,"gpsA","NAD(P)-dependent glycerol-3-phosphate dehydrogenase",0
"A2G06_RS00045",515,0.0485,-0.0491,127.86,0.8293,0.4492,0.4122,-0.421479892780191,0.39682977397376,0.281124825872811,"","hybrid sensor histidine kinase/response regulator",0
"A2G06_RS00050",497,0.0785,-0.3672,131.14,0.8121,0.4656,0.3791,-0.530374553610685,0.381228414952718,-0.308292341627431,"","PAS domain-containing sensor histidine kinase",0
"A2G06_RS00055",726,0.0758,-0.2054,130,0.8446,0.3957,0.4076,-0.555986395202634,0.554882808822497,0.169874760969375,"","histidine kinase",0
"A2G06_RS00060",307,0.0651,-0.243,131.33,0.8716,0.4155,0.4167,-0.247612265064088,0.563786695245227,0.575270600967509,"","daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein",0
"A2G06_RS00070",141,0.0638,-0.1894,133.4,0.8222,0.3778,0.4889,0.128793611498375,-1.32998919174401,-2.3148238167149,"","MarR family transcriptional regulator",0
"A2G06_RS00080",320,0.0594,-0.4828,131.72,0.8312,0.4809,0.5114,-0.325709457695046,0.793812700392384,0.771818020377966,"","peptidylprolyl isomerase",0
"A2G06_RS00085",312,0.0481,-0.4734,126.48,0.8377,0.4318,0.4565,-0.411369841491222,0.366645284886344,0.0776463519080422,"","peptidylprolyl isomerase",0
"A2G06_RS00090",1156,0.0657,-0.1594,129.57,0.8757,0.4383,0.4187,-0.696932489451,0.758668247774538,0.382059314304862,"","transcription-repair coupling factor",0
"A2G06_RS00095",477,0.065,-0.0109,127.41,0.8643,0.4464,0.3677,-0.398825731722798,0.526555221188081,-0.17668323389759,"","PLP-dependent aminotransferase family protein",0
"A2G06_RS00100",278,0.0504,-0.1248,121.82,0.7106,0.5055,0.3333,0.502081740682124,-0.580126589303848,-0.303909920641098,"","pentapeptide repeat-containing protein",0
"A2G06_RS00105",178,0.0674,-0.0039,125.57,0.8176,0.3647,0.3968,-0.826267301071293,0.312948820349032,-0.914118614387905,"","gamma carbonic anhydrase family protein",0
"A2G06_RS00115",110,0.0364,-0.3191,123.62,0.7798,0.5229,0.4706,0.645689060344933,-0.115896242227838,0.766079169582999,"","protein translocase TatA",0
"A2G06_RS00120",277,0.065,-0.6,129.79,0.7823,0.4613,0.3521,-0.35006512673221,-0.105275456369348,-0.482339174040812,"","tol-pal system protein YbgF",0
"A2G06_RS00125",193,0.0518,-0.2565,124.6,0.7407,0.3915,0.4127,1.2687321751081,-0.540205738329759,0.724984012916673,"","peptidoglycan-associated lipoprotein",0
