Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
0	15	36	0	5	0	23	7	1	28	23	0	2	12	7	0	17	1	0	20	2	1	14	0	30	11	1	0	0	11	1	1	6	20	0	0	20	0	3	1	24	14	3	9	0	0	3	11	0	0	8	20	1	0	23	14	1	6	0	470	0.0723	-0.2887	130.63	0.9496	0.4715	0.2883	0.4141	0.5122	0.7675	1	1416	direct	SCE_RS00005	WP_012232635.1		chromosomal replication initiator protein DnaA	0	1
1	86	130	0	7	0	65	19	1	93	38	0	2	75	23	0	25	1	0	44	0	0	33	0	124	40	1	0	3	17	0	0	17	38	0	2	36	0	8	0	86	39	1	31	0	0	18	23	1	0	20	27	0	0	47	37	0	20	3	1304	0.0498	-0.1114	125.69	0.9750	0.4337	0.1685	0.3983	0.3101	0.8018	1450	5367	complement	SCE_RS47905	WP_012232636.1		protein kinase	0	0
3	25	40	2	4	1	27	10	3	51	17	1	3	36	18	2	5	0	0	32	0	0	22	0	44	13	0	0	0	18	0	0	16	13	0	0	19	0	0	1	20	26	1	13	0	1	4	9	0	1	18	20	0	0	38	21	1	8	2	619	0.0468	-0.1292	125.21	0.9475	0.4466	0.2971	0.4452	0.4444	0.7480	5488	7350	complement	SCE_RS00015	WP_012232637.1		molecular chaperone DnaK	0	0
3	13	15	0	0	0	6	6	4	17	5	0	1	8	2	0	4	0	0	7	0	0	8	1	4	6	0	0	0	5	1	0	6	4	0	1	10	0	0	0	12	3	1	4	0	0	2	6	0	0	3	4	0	0	12	3	0	2	0	193	0.0363	-0.5948	126.43	0.9048	0.4550	0.4537	0.4921	0.3333	0.6844	7538	8122	complement	SCE_RS00020	WP_012232638.1	grpE	nucleotide exchange factor GrpE	0	0
0	26	41	3	6	0	13	1	2	27	14	1	2	32	14	5	9	1	0	14	0	0	7	0	32	16	2	0	1	11	0	0	3	17	4	1	7	0	1	0	22	11	0	6	0	0	4	6	0	1	8	9	0	0	11	14	0	7	1	419	0.0573	+0.0685	121.99	0.9419	0.4576	0.3199	0.4770	0.4056	0.7253	8397	9659	direct	SCE_RS00025	WP_012232639.1		acetylornithine/succinylornithine family transaminase	0	1
2	70	90	4	8	0	39	9	1	37	14	0	1	53	23	5	12	2	0	38	0	0	8	0	62	22	1	0	2	5	0	0	29	21	7	0	14	0	0	2	50	15	1	14	0	0	10	17	0	2	16	15	1	0	51	22	1	5	0	814	0.0319	+0.2935	119.55	0.9513	0.3958	0.2808	0.4760	0.2811	0.7443	9661	12108	direct	SCE_RS00030	WP_012232640.1		HAD-IC family P-type ATPase	0	1
0	7	12	1	5	0	13	0	1	14	5	0	0	7	5	0	8	0	0	8	1	0	7	1	7	6	0	0	0	1	0	0	1	2	0	1	3	2	0	1	8	4	0	4	0	0	2	2	0	0	2	6	0	0	5	4	0	6	0	166	0.0723	-0.4006	130.09	0.9506	0.4136	0.2838	0.3580	0.4667	0.7262	12157	12660	complement	SCE_RS00035	WP_086018289.1		transcriptional repressor	0	0
2	12	22	3	4	0	15	1	0	16	15	1	4	19	8	2	3	0	0	14	0	0	7	0	18	14	0	1	0	13	0	1	14	16	2	1	16	1	0	4	10	5	0	8	0	0	4	7	0	0	8	9	0	0	20	9	0	16	0	356	0.0983	-0.0284	125.92	0.9333	0.4000	0.3534	0.4362	0.5372	0.7080	12768	13841	complement	SCE_RS00040	WP_012232642.1		hypothetical protein	0	0
1	15	26	2	6	0	11	1	0	12	8	0	1	14	7	1	8	4	0	8	0	1	6	0	17	5	1	0	0	2	1	1	8	11	2	3	6	0	7	2	13	6	0	4	0	0	1	4	0	0	2	5	0	0	8	9	0	5	0	264	0.0682	-0.2508	126.62	0.9176	0.4549	0.4104	0.5179	0.3544	0.6432	13900	14697	complement	SCE_RS00045	WP_012232643.1		hypothetical protein	0	0
1	21	24	2	0	0	16	6	0	28	10	0	1	17	9	1	3	0	0	14	1	0	10	0	27	15	4	0	0	8	0	1	2	9	1	0	8	0	2	2	16	13	0	6	0	0	4	6	0	0	12	7	0	0	20	6	1	7	0	346	0.0491	-0.0454	126.01	0.9384	0.4487	0.3337	0.4485	0.4300	0.7098	15042	16085	direct	SCE_RS00050	WP_012232644.1	hrcA	heat-inducible transcription repressor HrcA	0	1
0	21	26	1	1	0	17	3	2	20	4	0	1	17	14	0	12	0	0	7	0	1	8	0	22	14	0	0	1	1	0	0	6	20	1	0	12	0	2	5	21	16	3	7	0	0	1	2	0	0	6	11	2	0	15	20	0	7	0	355	0.0366	-0.3966	126.84	0.9457	0.5029	0.3043	0.4754	0.2697	0.6917	16078	17148	complement	SCE_RS00055	WP_012232645.1		RluA family pseudouridine synthase	0	0
