"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"CFB04_RS00005",93,0.0968,-0.5731,136.93,0.7701,0.5747,0.375,0.871976782789019,-0.771013471827336,0.690817169575238,"","hypothetical protein",0
"CFB04_RS00010",193,0.0674,-0.0461,124.55,0.7263,0.4474,0.5,0.220162904688656,0.506076480894435,1.21128569242049,"","septum formation inhibitor Maf",0
"CFB04_RS00015",128,0.0547,0.0477,126.73,0.7097,0.4758,0.4688,-0.869689548023194,0.465835135465732,-1.11414425455353,"","DUF2384 domain-containing protein",0
"CFB04_RS00020",225,0.1022,-0.4364,129.08,0.6129,0.5668,0.5849,-0.198133528119345,-0.357729900153316,-0.795554394028833,"","RES domain-containing protein",0
"CFB04_RS00025",115,0.0522,0.3035,122.26,0.7182,0.4909,0.52,-2.06489888713094,2.71355512131997,-0.964438998933881,"","hypothetical protein",0
"CFB04_RS00030",307,0.0651,-0.0192,128.68,0.7669,0.5101,0.4521,-0.98440912504687,0.607429837448108,-0.064323520099949,"","2-dehydropantoate 2-reductase",0
"CFB04_RS00035",400,0.075,-0.213,128.2,0.7801,0.4425,0.4274,-0.23378286923558,0.182369967882566,0.386513848910675,"","class I SAM-dependent rRNA methyltransferase",0
"CFB04_RS00040",129,0.1163,-0.4457,129.84,0.6529,0.4628,0.5122,-0.921590970960528,1.37157225036615,-0.167666001332448,"","hypothetical protein",0
"CFB04_RS00045",403,0.0695,-0.2387,127.22,0.719,0.438,0.4,-0.999746999473369,0.860906481446721,-0.699282602450577,"","tetratricopeptide repeat protein",0
"CFB04_RS00050",260,0.0769,-0.3673,129.25,0.7294,0.4784,0.5301,-0.266579125352881,-0.546199163273667,-0.79393545284475,"","tetratricopeptide repeat protein",0
"CFB04_RS00055",238,0.0756,0.879,122.84,0.7359,0.4935,0.5823,-0.498049099831698,-0.592091209551508,-1.44909510322625,"","LrgB family protein",0
"CFB04_RS00060",121,0.0579,0.9347,124.91,0.7328,0.431,0.4062,-0.0544969452476268,0.666245672135334,1.39472765822131,"","CidA/LrgA family protein",0
"CFB04_RS00065",212,0.0943,-0.3274,127.5,0.639,0.478,0.4923,-0.105722096078719,-0.685326056561205,-0.463091575308002,"","M23 family peptidase",0
"CFB04_RS00070",197,0.0609,-0.2213,125.85,0.6974,0.5487,0.5556,0.498116406110188,-0.684855114097189,0.395100936554037,"","hypothetical protein",0
"CFB04_RS00075",188,0.1011,-0.1574,131.31,0.5167,0.4833,0.4906,1.55185675357296,-2.32812556292043,0.482394940724863,"","hypothetical protein",0
"CFB04_RS00080",668,0.0793,-0.2822,128.62,0.7852,0.4142,0.4471,-1.524989967083,1.64028599505836,-0.807755121684206,"","molybdopterin oxidoreductase family protein",0
"CFB04_RS00085",173,0.052,0.0821,124.62,0.4211,0.5029,0.45,0.967724025911656,0.11869660640006,1.41932921395546,"","DUF4410 domain-containing protein",0
"CFB04_RS00090",290,0.0931,-0.0614,127.86,0.7402,0.4057,0.506,-1.31567947061385,1.92884231275968,-0.533851398588661,"","TIGR04222 domain-containing membrane protein",0
"CFB04_RS00095",67,0.0896,-0.0493,131.35,0.4545,0.5606,0.3684,2.80649111498672,-3.04567620945465,1.79052205257973,"","2-oxoisovalerate dehydrogenase",0
"CFB04_RS00100",79,0.0253,-0.3684,128.46,0.5063,0.481,0.36,1.56507096960332,0.432635320676163,2.06879180753201,"","type II toxin-antitoxin system HicA family toxin",0
"CFB04_RS00105",455,0.1187,-0.4743,132.52,0.4292,0.4612,0.4603,2.95220137169176,-2.73844872085969,2.69417269256496,"","glycosaminoglycan attachment protein",0
"CFB04_RS00110",156,0.1154,-0.8519,133.95,0.3487,0.3882,0.58,1.85470390240008,-0.339028190017051,3.05352501741439,"","hypothetical protein",0
"CFB04_RS00115",116,0.069,-0.5086,134.9,0.7117,0.4775,0.7895,-0.141165345876493,0.954298567105238,0.690924825486224,"","hypothetical protein",0
"CFB04_RS00120",107,0.0561,-0.2589,129.71,0.5437,0.5243,0.5,0.423795833429106,0.418757683877456,1.48229835478905,"","nucleotidyltransferase domain-containing protein",0
"CFB04_RS00125",125,0.072,-0.2224,130.42,0.7333,0.4667,0.5556,-0.209101191405121,0.995725927539303,0.295080798333528,"","HEPN domain-containing protein",0
"CFB04_RS00130",647,0.0835,-0.5328,132.38,0.8758,0.4156,0.5659,-0.631035382727797,0.0385018581263751,-0.551358427140007,"","molecular chaperone HtpG",0
"CFB04_RS00135",491,0.0794,-0.102,128.54,0.8186,0.4536,0.5649,-1.08372237892601,1.01718339461422,-0.407888660092159,"trpE","anthranilate synthase component I",0
"CFB04_RS00140",189,0.0899,-0.0196,129.66,0.6923,0.4725,0.4182,-1.24130607687979,0.772865005265436,-0.805824377576446,"","type 1 glutamine amidotransferase",0
"CFB04_RS00145",349,0.0287,0.1169,124.24,0.7656,0.4362,0.49,-0.493625721055559,0.259054346653225,-0.373219289399342,"trpD","anthranilate phosphoribosyltransferase",0
"CFB04_RS00150",265,0.0566,-0.0321,127.86,0.6962,0.5192,0.4595,-0.516516522215856,0.571852835010967,0.317267618469858,"","indole-3-glycerol phosphate synthase TrpC",0
"CFB04_RS00155",507,0.144,0.4554,129.55,0.6825,0.5175,0.4854,-0.393985468598846,0.131381703412303,-0.426720336569322,"","hypothetical protein",0
"CFB04_RS00160",204,0.0784,0.0284,126.3,0.7413,0.4975,0.4717,-1.32314212804313,1.76476415238701,0.0473141052472615,"","phosphoribosylanthranilate isomerase",0
"CFB04_RS00165",395,0.0759,-0.2084,127.03,0.7218,0.4619,0.5043,-0.961269585006021,0.893902808801256,-0.824064517537537,"trpB","tryptophan synthase subunit beta",0
"CFB04_RS00170",215,0.0558,-0.3451,128.87,0.701,0.5343,0.439,0.172505885677366,-0.00244474259323995,0.539129469286259,"","lytic transglycosylase",0
"CFB04_RS00175",271,0.0996,-0.11,125.98,0.7011,0.4176,0.5,-1.16672969585067,0.0794931925569942,-1.57422119050788,"","hypothetical protein",0
"CFB04_RS00180",166,0.0904,-0.1145,131.63,0.7312,0.5375,0.4762,-0.348194867176942,-0.602500080104181,-0.5756775450666,"","hypothetical protein",0
"CFB04_RS00185",634,0.0678,-0.4672,130.1,0.7118,0.5217,0.4969,-0.262113459053701,0.178837050256107,0.0674039006661435,"","ABC transporter ATP-binding protein",0
"CFB04_RS00190",144,0.0833,1.1431,122.38,0.7239,0.5373,0.4688,-1.16611939613674,-0.0476549920392748,-1.25248730902383,"","EamA-like transporter family protein",0
"CFB04_RS00195",526,0.0342,-0.1466,125.4,0.6896,0.4244,0.5339,-0.822979345892244,0.684918309168649,-0.593355218309753,"","methyl-accepting chemotaxis protein",0
"CFB04_RS00200",119,0.0504,-0.0874,127.66,0.6667,0.4865,0.5278,-0.17841499268689,-0.120314914251848,-1.27676305215837,"","cytochrome C",0
"CFB04_RS00205",247,0.0769,0.0538,126.31,0.7059,0.5504,0.4576,0.455757331501177,-0.713359733393753,0.0549532384360385,"","hypothetical protein",0
"CFB04_RS00210",713,0.0224,-0.0644,124.8,0.7226,0.4818,0.6059,-1.04085121724269,0.542495560047532,-0.906055694801312,"","methyl-accepting chemotaxis protein",0
"CFB04_RS00215",273,0.0696,0.1586,123.97,0.663,0.537,0.5417,-0.439892682491357,0.226018774275033,-0.509733502247533,"","tryptophan synthase subunit alpha",0
"CFB04_RS00220",282,0.0638,-0.0706,127.33,0.7323,0.4461,0.5714,-0.94274580845696,0.226810845215567,-1.31733227388869,"","acetyl-CoA carboxylase carboxyltransferase subunit beta",0
"CFB04_RS00225",84,0.0476,-0.2155,127.96,0.6786,0.381,0.3077,-1.07927755193557,1.04555990833037,-0.480588902383837,"","hypothetical protein",0
"CFB04_RS00230",423,0.0638,0.1979,122.47,0.6787,0.4868,0.4922,0.0653326977359154,-0.0759181082659928,-0.155406697941257,"","bifunctional folylpolyglutamate synthase/dihydrofolate synthase",0
"CFB04_RS00235",681,0.1204,-0.3223,129.88,0.7425,0.4251,0.5687,-1.27505980905024,1.26232090110408,-0.528690558060644,"","LPS-assembly protein LptD",0
"CFB04_RS00240",359,0.1031,-0.3379,129.02,0.7614,0.392,0.479,-0.776322020921148,0.441159065083215,-0.0392810879448844,"rfbB","dTDP-glucose 4,6-dehydratase",0
"CFB04_RS00245",280,0.075,-0.1896,127.98,0.7313,0.4701,0.5125,-0.885443663332963,0.626429918103471,-0.816880892957781,"rfbD","dTDP-4-dehydrorhamnose reductase",0
"CFB04_RS00250",134,0.0597,-0.5052,131.45,0.6822,0.5116,0.5897,-0.133988719167177,0.0696244866894837,-0.263399485317956,"","cupin domain-containing protein",0
"CFB04_RS00255",242,0.0496,-0.0566,127.88,0.7124,0.5107,0.4844,-0.872323713318132,0.943975330348577,-0.711870917833759,"","BON domain-containing protein",0
"CFB04_RS00260",252,0.0675,0.1837,126.6,0.6749,0.4733,0.4688,-0.10363234369801,-0.508386833766223,0.0866702928763466,"","DUF1499 domain-containing protein",0
"CFB04_RS00265",357,0.0756,-0.0955,128.6,0.7965,0.4855,0.5,-0.772538033439164,0.70494145142898,-0.435359529425611,"","mannose-1-phosphate guanylyltransferase",0
"CFB04_RS00270",578,0.0796,-0.2329,126.4,0.7415,0.4635,0.4745,-0.606454280140771,0.758260855620969,-0.612589437317676,"","aldehyde:ferredoxin oxidoreductase",0
"CFB04_RS00275",386,0.0777,0.0329,126.61,0.7698,0.4762,0.4538,-0.11608800606806,-0.0686158962189077,0.105206311398539,"","aldolase",0
"CFB04_RS00280",147,0.0408,0.381,119.46,0.6268,0.4437,0.5227,0.00690212154743786,0.392743639773043,0.258194941036003,"","hypothetical protein",0
"CFB04_RS00285",466,0.0901,-0.2208,126.57,0.7077,0.4527,0.6045,-0.84989782887017,0.720554367836689,-0.598666779567988,"","hypothetical protein",0
"CFB04_RS00290",114,0.0702,1.4377,115.99,0.4587,0.5413,0.4194,-0.854400948061564,1.69949702315693,-0.575191442328254,"","hypothetical protein",0
"CFB04_RS00295",489,0.0961,-0.2125,124.4,0.6653,0.5516,0.5328,-0.223268133907595,-0.0211971640895017,-0.330989743313182,"","glucose dehydrogenase",0
