"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"CFB04_RS00005",93,0.0968,-0.5731,136.93,0.7701,0.5747,0.375,-1.03783465916058,0.773167949160163,-1.5552793403017,"","hypothetical protein",0
"CFB04_RS00010",193,0.0674,-0.0461,124.55,0.7263,0.4474,0.5,-0.769501546546959,0.205422087555262,0.581398521828709,"","septum formation inhibitor Maf",0
"CFB04_RS00015",128,0.0547,0.0477,126.73,0.7097,0.4758,0.4688,-0.398165042062019,-0.35416657370908,-0.208130852002748,"","DUF2384 domain-containing protein",0
"CFB04_RS00020",225,0.1022,-0.4364,129.08,0.6129,0.5668,0.5849,0.478533888325134,1.29933303235921,-0.17427393747791,"","RES domain-containing protein",0
"CFB04_RS00025",115,0.0522,0.3035,122.26,0.7182,0.4909,0.52,-0.523983288429365,0.698564177178949,2.02698888199723,"","hypothetical protein",0
"CFB04_RS00030",307,0.0651,-0.0192,128.68,0.7669,0.5101,0.4521,-1.09129610174803,1.2264320366311,2.04296654495667,"","2-dehydropantoate 2-reductase",0
"CFB04_RS00035",400,0.075,-0.213,128.2,0.7801,0.4425,0.4274,-1.23791139080049,-0.265693521800303,0.798397693702208,"","class I SAM-dependent rRNA methyltransferase",0
"CFB04_RS00040",129,0.1163,-0.4457,129.84,0.6529,0.4628,0.5122,-0.0924598834840485,0.0478242451021405,-0.0655175513313082,"","hypothetical protein",0
"CFB04_RS00045",403,0.0695,-0.2387,127.22,0.719,0.438,0.4,-0.885275925874096,-0.662441756998097,0.0792991901903567,"","tetratricopeptide repeat protein",0
"CFB04_RS00050",260,0.0769,-0.3673,129.25,0.7294,0.4784,0.5301,-0.412122605605296,0.195928616226676,0.279082511719778,"","tetratricopeptide repeat protein",0
"CFB04_RS00055",238,0.0756,0.879,122.84,0.7359,0.4935,0.5823,-0.512088263265448,0.288751291665959,0.161510343191673,"","LrgB family protein",0
