ACCESSION	GC	GC3s	S_value	Size	cds	delta_enc	highlyExpressed	rRNA	tRNA
Geobacter_sulfurreducens_PCA	60.9	76.97	-0.3536	3814128	3430	-0.0797	43	6	49
Myxococcus_xanthus_DK_1622	68.9	88.74	0.7469	9139763	7340	0.0986	44	12	66
Pelobacter_carbinolicus_DSM_2380	55.1	63.72	-0.1649	3665893	3229	0.0146	43	6	54
Geobacter_metallireducens_GS-15	59.5	75.65	-0.6522	3997420	3558	-0.1256	43	6	49
Pelobacter_propionicus_DSM_2379	59.0	75.16	-0.8147	4008000	3612	-0.1245	42	12	53
Geobacter_uraniireducens_Rf4	54.2	65.58	-0.5627	5136364	4504	-0.0436	42	6	49
Geobacter_lovleyi_SZ	54.8	62.72	-0.2756	3917761	3585	0.0217	41	6	45
Geobacter_bemidjiensis_Bem	60.3	80.68	0.1808	4615150	4042	0.0846	42	12	58
Anaeromyxobacter_dehalogenans_2CP-1	74.7	97.06	NA	5029329	4501	0.0413	44	6	49
Geobacter_daltonii_FRC-32	53.5	62.68	-0.1289	4304501	3785	-0.0144	42	6	49
Geobacter_sp._M21	60.5	81.23	0.2033	4745806	4124	0.0724	42	12	58
Sorangium_cellulosum_So_ce_56	71.4	91.78	0.6949	13033779	9681	0.0712	44	12	61
Stigmatella_aurantiaca_DW4/3-1	67.5	86.83	0.6777	10260756	8355	0.1082	45	6	50
Geobacter_sp._M18	61.2	82.71	0.1639	5277406	4504	0.0711	42	12	59
Geobacter_sulfurreducens_KN400	61.0	77.14	-0.3524	3714272	3331	-0.0837	42	6	48
Corallococcus_coralloides_DSM_2259	69.9	91.91	0.4385	10080619	8067	0.0484	43	9	60
Myxococcus_stipitatus_DSM_14675	69.2	90.21	0.2833	10350586	8048	0.0599	43	9	82
Geobacter_pickeringii_G13	62.3	81.61	-1.0317	3618700	3264	-0.2113	42	9	51
Geoalkalibacter_subterraneus_Red1	57.0	67.8	-0.1914	3475523	3254	-0.0213	42	9	52
Geobacter_sulfurreducens_AM-1	60.2	75.87	-0.2949	4566144	4143	-0.0655	42	6	51
Desulfuromonas_soudanensis_WTL	61.2	78.53	-0.0727	3958620	3508	-0.0493	42	6	55
Geobacter_anodireducens_SD-1	61.8	78.77	-0.2783	3555507	3246	-0.1168	43	6	48
Pelobacter_acetylenicus_DSM_3246	57.4	68	-0.0880	3192352	2904	-0.0452	43	12	53
Geobacter_sulfurreducens_YM18	60.7	76.5	-0.3013	3726411	3354	-0.0763	42	6	49
Geobacter_sp._FeAm09	61.1	80.2	-0.0677	4099068	3782	-0.0042	41	6	52
Geobacter_sp._DSM_9736	56.1	66.03	-0.1103	3957783	3486	0.0302	42	6	49
Geobacter_sp._SbR	58.4	73.15		546751	492		2	0	7

