ACCESSION	GC	GC3s	S_value	Size	cds	delta_enc	highlyExpressed	rRNA	tRNA
Sorangium_cellulosum_So_ce_56	71.4	91.78	0.6949	13033779.0	9681.0	0.0712	44.0	12.0	61.0
Anaeromyxobacter_dehalogenans_2CP-1	74.7	97.06		5029329.0	4501.0	0.0413	44.0	6.0	49.0
Stigmatella_aurantiaca_DW4/3-1	67.5	86.83	0.6777	10260756.0	8355.0	0.1082	45.0	6.0	50.0
Corallococcus_coralloides_DSM_2259	69.9	91.91	0.4385	10080619.0	8067.0	0.0484	43.0	9.0	60.0
Myxococcus_xanthus_DK_1622	68.9	88.74	0.7469	9139763.0	7340.0	0.0986	44.0	12.0	66.0
Myxococcus_stipitatus_DSM_14675	69.2	90.21	0.2833	10350586.0	8048.0	0.0599	43.0	9.0	82.0
Geoalkalibacter_subterraneus_Red1	57.0	67.8	-0.1914	3475523.0	3254.0	-0.0213	42.0	9.0	52.0
Desulfuromonas_soudanensis_WTL	61.2	78.53	-0.0727	3958620.0	3508.0	-0.0493	42.0	6.0	55.0
Pelobacter_carbinolicus_DSM_2380	55.1	63.72	-0.1649	3665893.0	3229.0	0.0146	43.0	6.0	54.0
Pelobacter_acetylenicus_DSM_3246	57.4	68.0	-0.088	3192352.0	2904.0	-0.0452	43.0	12.0	53.0
Geobacter_metallireducens_GS-15	59.5	75.65	-0.6522	3997420.0	3558.0	-0.1256	43.0	6.0	49.0
Geobacter_anodireducens_SD-1	61.8	78.77	-0.2783	3555507.0	3246.0	-0.1168	43.0	6.0	48.0
Geobacter_sulfurreducens_YM18	60.7	76.5	-0.3013	3726411.0	3354.0	-0.0763	42.0	6.0	49.0
Geobacter_sulfurreducens_PCA	60.9	76.97	-0.3536	3814128.0	3430.0	-0.0797	43.0	6.0	49.0
Geobacter_sulfurreducens_KN400	61.0	77.14	-0.3524	3714272.0	3331.0	-0.0837	42.0	6.0	48.0
Geobacter_sulfurreducens_AM-1	60.2	75.87	-0.2949	4566144.0	4143.0	-0.0655	42.0	6.0	51.0
Geobacter_sp._DSM_9736	56.1	66.03	-0.1103	3957783.0	3486.0	0.0302	42.0	6.0	49.0
Geobacter_uraniireducens_Rf4	54.2	65.58	-0.5627	5136364.0	4504.0	-0.0436	42.0	6.0	49.0
Geobacter_daltonii_FRC-32	53.5	62.68	-0.1289	4304501.0	3785.0	-0.0144	42.0	6.0	49.0
Geobacter_sp._M18	61.2	82.71	0.1639	5277406.0	4504.0	0.0711	42.0	12.0	59.0
Geobacter_bemidjiensis_Bem	60.3	80.68	0.1808	4615150.0	4042.0	0.0846	42.0	12.0	58.0
Geobacter_sp._M21	60.5	81.23	0.2033	4745806.0	4124.0	0.0724	42.0	12.0	58.0
Geobacter_lovleyi_SZ	54.8	62.72	-0.2756	3917761.0	3585.0	0.0217	41.0	6.0	45.0
Pelobacter_propionicus_DSM_2379	59.0	75.16	-0.8147	4008000.0	3612.0	-0.1245	42.0	12.0	53.0
Geobacter_sp._SbR.gbff									
Geobacter_sp._FeAm09	61.1	80.2	-0.0677	4099068.0	3782.0	-0.0042	41.0	6.0	52.0
Geobacter_pickeringii_G13	62.3	81.61	-1.0317	3618700.0	3264.0	-0.2113	42.0	9.0	51.0
