"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"RW64_RS00005",446,0.0874,-0.3132,131.39,0.7569,0.4468,0.4825,-0.140439654249411,1.01528464323109,-0.578682099043577,"","transposase",0
"RW64_RS00010",388,0.1186,-0.2704,134.56,0.6755,0.4947,0.4643,0.741829456452819,-0.0720407075880899,1.0073731355089,"","IS4 family transposase",0
"RW64_RS21030",173,0.1618,-0.0526,133.34,0.2381,0.6071,0.3382,5.16950064642373,0.112249226389091,3.94310813683223,"","glycosyltransferase",0
"RW64_RS00015",446,0.0874,-0.3132,131.39,0.7569,0.4468,0.4825,-0.140439654249411,1.01528464323109,-0.578682099043577,"","transposase",0
"RW64_RS21035",254,0.1181,0.0744,130.65,0.32,0.54,0.2759,4.14629378729358,-0.35521874760895,2.68013903275435,"","class I SAM-dependent methyltransferase",0
"RW64_RS21040",488,0.0922,-0.1715,124.68,0.3418,0.5063,0.3791,3.75518650839427,-1.10652939433624,1.60302520652968,"","hypothetical protein",0
"RW64_RS00020",449,0.1002,-0.6332,133.77,0.7402,0.4207,0.5278,0.00791185594852007,0.955997435278831,0.814832610010075,"","IS5/IS1182 family transposase",0
"RW64_RS21045",440,0.1114,-0.1182,131.16,0.345,0.5268,0.3684,3.86374979166854,0.148640465719165,2.31327212673008,"","hypothetical protein",0
"RW64_RS21050",434,0.1498,0.7069,129.96,0.3524,0.5857,0.4,4.29773077279358,-0.393721164251335,3.16464229606819,"","hypothetical protein",0
"RW64_RS00025",393,0.1043,0.0071,131.23,0.3937,0.5407,0.3964,3.32894920132438,-0.0772848344366881,1.12162851542577,"","hypothetical protein",0
"RW64_RS00030",192,0.0938,0.0594,129.06,0.4415,0.5851,0.4706,2.71865204576594,-1.19111177715454,0.153723580393939,"","hypothetical protein",0
"RW64_RS00035",446,0.0874,-0.3132,131.39,0.7569,0.4468,0.4825,-0.140439654249411,1.01528464323109,-0.578682099043577,"","transposase",0
"RW64_RS21055",207,0.1014,0.3913,128.32,0.403,0.5522,0.3947,3.2678366052353,0.661684527613755,-0.484426089263753,"","hypothetical protein",0
"RW64_RS21060",191,0.0628,0.1953,126.55,0.4096,0.5106,0.4231,3.49680759094045,-0.545981278528279,2.50695729918479,"","acyltransferase",0
"RW64_RS00045",377,0.0902,0.1074,130.97,0.374,0.5789,0.4128,3.78882368832823,0.304045791024771,1.31503804052907,"","hypothetical protein",0
"RW64_RS21065",425,0.1412,0.8979,128.17,0.2804,0.5856,0.375,5.06361372929901,-0.163511324336472,3.53823126290645,"","hypothetical protein",0
"RW64_RS00050",449,0.1002,-0.6332,133.77,0.7402,0.4207,0.5278,0.00791185594852007,0.955997435278831,0.814832610010075,"","IS5/IS1182 family transposase",0
"RW64_RS00055",356,0.0758,-0.4059,130.29,0.7355,0.439,0.4404,0.148879232966236,1.03711521335052,-0.409277218405435,"","IS5 family transposase",0
"RW64_RS00060",93,0.086,0.2151,122.89,0.4176,0.6484,0.5484,3.26779115377968,-0.890428454049536,-2.02327112850982,"","hypothetical protein",0
"RW64_RS00065",389,0.0617,0.0692,127.16,0.2599,0.5358,0.4298,4.99223950260354,0.612528713461167,3.92508874584349,"","hypothetical protein",0
"RW64_RS00070",356,0.0758,-0.4059,130.29,0.7355,0.439,0.4404,0.148879232966236,1.03711521335052,-0.409277218405435,"","IS5 family transposase",0
"RW64_RS00085",320,0.0875,0.3397,120.79,0.5659,0.4727,0.5055,1.7714394138802,-0.478586521599284,-0.407855940477753,"","hypothetical protein",0
"RW64_RS00090",1072,0.0951,0.0852,120.87,0.6811,0.3833,0.4153,0.676290735212669,1.01127768194858,0.00490348974375019,"","transcription factor",0
"RW64_RS00105",178,0.0618,0.382,120.81,0.7283,0.3353,0.3947,-0.0543232055027186,1.95160913537458,-0.470839144361037,"","2-oxoacid:ferredoxin oxidoreductase subunit gamma",0
"RW64_RS00110",246,0.0935,-0.1581,126.21,0.7647,0.416,0.4043,-0.273347732022502,0.92114416951942,-0.238147062953432,"","MFS transporter",0
"RW64_RS00115",350,0.0886,-0.0771,126.76,0.7598,0.3994,0.4154,-0.356254493369135,0.857620877717079,-0.660084944469102,"","3-methyl-2-oxobutanoate dehydrogenase subunit VorB",0
"RW64_RS00120",66,0.0455,0.2985,125.31,0.5312,0.5469,0.3684,1.83421095359635,-1.0955478357776,-1.51262966791483,"","2-oxoacid:acceptor oxidoreductase subunit delta",0
"RW64_RS00125",166,0.0241,-0.4235,125.07,0.6335,0.5031,0.375,1.06937748030998,1.76770745186446,-0.765398026781411,"","MucR family transcriptional regulator",0
"RW64_RS00130",275,0.0655,0.092,126.06,0.738,0.5351,0.3929,0.263748889140356,-0.850119088181894,-0.647454673984529,"","ribosomal RNA small subunit methyltransferase A",0
"RW64_RS00135",339,0.0531,0.3112,121.98,0.7582,0.4955,0.3241,-0.171321884237568,-0.723610189610081,-0.236616814536488,"","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD",0
"RW64_RS00140",439,0.0729,-0.3105,130.24,0.8019,0.3986,0.5132,-0.796662387495003,0.788926015950313,-0.327963884556673,"","PhoH family protein",0
"RW64_RS00145",93,0.086,0.3118,126.76,0.7097,0.4409,0.4375,0.0207753893629629,0.698496696432043,-1.68793024275041,"","hypothetical protein",0
"RW64_RS00150",379,0.0475,0.0443,122.46,0.7326,0.484,0.3761,0.0645198685912909,-0.829260639541183,-0.66180841089175,"","cysteine desulfurase",0
"RW64_RS00155",453,0.0486,0.0106,122.79,0.7443,0.4863,0.4255,0.111399594819237,-0.182771417694106,-0.708146605875055,"","hypothetical protein",0
