Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
0	3	1	0	0	0	3	1	3	6	2	2	0	5	2	1	0	2	0	4	4	1	8	0	4	3	2	0	0	0	0	0	0	0	0	1	7	0	2	1	1	5	0	0	0	0	2	1	1	0	1	1	0	1	3	1	0	2	0	93	0.0968	-0.5731	136.93	0.7701	0.5747	0.7778	0.5817	0.3750	0.7974	118	402	direct	CFB04_RS00005	WP_088533349.1		hypothetical protein	0	1
6	6	5	1	5	0	7	3	5	11	7	0	2	8	9	0	2	0	3	7	2	2	7	0	3	4	5	0	0	2	1	0	3	6	1	2	2	1	0	3	1	5	1	4	3	2	2	3	3	0	8	2	0	2	8	7	2	4	2	193	0.0674	-0.0461	124.55	0.7263	0.4474	0.8467	0.7307	0.5000	0.7359	383	967	direct	CFB04_RS00010	WP_088533350.1		septum formation inhibitor Maf	0	1
5	7	5	3	0	0	2	4	3	4	2	0	2	2	2	1	0	0	1	2	1	3	4	0	5	8	3	0	3	2	0	1	1	2	1	1	3	1	1	0	5	3	2	2	0	0	4	2	1	0	3	3	0	1	8	1	1	2	1	128	0.0547	+0.0477	126.73	0.7097	0.4758	0.8691	0.7801	0.4688	0.7462	1131	1520	direct	CFB04_RS00015	WP_088533351.1		DUF2384 domain-containing protein	0	1
7	5	12	6	1	1	6	9	6	10	8	3	3	1	4	3	2	2	1	2	2	1	5	1	4	5	4	0	1	1	0	1	4	8	5	2	7	2	7	0	5	2	3	1	1	2	6	3	3	6	6	3	3	3	4	7	2	3	2	225	0.1022	-0.4364	129.08	0.6129	0.5668	0.9629	0.8639	0.5849	0.6874	1552	2232	direct	CFB04_RS00020	WP_088533352.1		RES domain-containing protein	0	1
5	7	5	2	1	0	3	0	1	3	1	0	2	3	7	3	0	0	3	3	1	4	2	1	5	8	1	1	0	1	0	0	1	1	0	0	4	2	0	1	0	5	1	2	0	0	1	2	1	0	4	3	0	0	2	3	2	2	0	115	0.0522	+0.3035	122.26	0.7182	0.4909	0.8579	0.6774	0.5200	0.7005	2348	2698	complement	CFB04_RS00025	WP_088533353.1		hypothetical protein	0	0
3	11	10	2	4	0	11	5	6	18	6	3	9	8	11	2	2	2	7	7	2	4	5	0	13	23	4	0	3	7	2	1	8	4	0	1	11	0	5	2	2	13	4	4	0	0	2	4	1	1	8	2	0	4	9	11	0	5	4	307	0.0651	-0.0192	128.68	0.7669	0.5101	0.7834	0.7331	0.4521	0.7532	2930	3856	complement	CFB04_RS00030	WP_088533354.1		2-dehydropantoate 2-reductase	0	0
8	19	12	3	2	0	17	3	5	17	9	4	8	15	11	2	3	5	3	10	2	6	9	0	19	26	5	0	2	9	2	2	9	7	3	2	15	1	3	2	14	13	3	8	0	0	7	3	1	6	9	4	3	4	10	12	1	11	2	400	0.0750	-0.2130	128.20	0.7801	0.4425	0.7601	0.7526	0.4274	0.7682	4085	5290	complement	CFB04_RS00035	WP_088533355.1		class I SAM-dependent rRNA methyltransferase	0	0
3	4	3	2	0	0	9	4	5	5	2	1	0	3	4	2	0	0	2	6	2	3	0	0	1	2	4	0	1	3	0	0	4	3	2	1	3	0	1	1	2	1	1	2	1	1	2	3	1	1	5	3	0	0	2	2	1	3	4	129	0.1163	-0.4457	129.84	0.6529	0.4628	0.9315	0.7647	0.5122	0.7342	5405	5797	complement	CFB04_RS00040	WP_088533356.1		hypothetical protein	0	0
9	31	13	4	3	2	18	12	20	16	11	8	10	11	8	1	10	4	1	8	4	2	10	0	21	20	11	0	2	13	3	0	6	7	1	1	11	1	6	1	8	7	3	6	0	2	6	7	2	1	7	2	0	2	6	3	5	7	1	403	0.0695	-0.2387	127.22	0.7190	0.4380	0.8568	0.7918	0.4000	0.7931	5794	7008	complement	CFB04_RS00045	WP_088533357.1		tetratricopeptide repeat protein	0	0
2	13	13	4	3	1	8	7	9	11	8	2	1	8	5	1	3	2	2	10	2	6	16	1	7	9	5	0	5	11	6	2	3	6	2	2	7	3	4	1	3	2	0	1	0	3	4	1	0	0	4	2	0	1	6	5	2	8	2	260	0.0769	-0.3673	129.25	0.7294	0.4784	0.8423	0.8202	0.5301	0.7520	7030	7815	complement	CFB04_RS00050	WP_088533358.1		tetratricopeptide repeat protein	0	0
