Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
1	17	6	0	2	1	2	7	5	12	9	2	2	7	6	0	2	1	0	7	2	1	5	0	5	15	1	0	4	1	1	2	3	5	0	0	6	0	1	0	4	10	2	2	0	1	3	0	1	2	5	2	1	0	6	5	1	2	2	194	0.0876	+0.0057	128.68	0.8105	0.5211	0.7004	0.6507	0.3559	0.5940	311	898	direct	GSbR_00010	########.[1]		TetR family transcriptional regulator	0	1
2	7	4	1	4	3	7	2	2	6	3	4	2	5	2	2	4	2	0	5	1	4	7	0	1	6	0	0	1	4	1	0	5	0	0	1	3	0	0	0	2	1	1	2	0	0	2	0	0	0	4	2	0	0	7	2	0	3	1	134	0.0970	-0.2448	128.84	0.7734	0.4062	0.7720	0.6793	0.4222	0.7141	953	1360	direct	GSbR_00020	########.[1]		hypothetical protein	0	1
0	14	6	1	5	0	6	7	2	14	5	0	3	11	7	1	3	1	0	6	2	1	1	1	7	15	2	0	3	0	3	0	4	5	0	0	5	0	0	2	5	11	3	3	0	0	3	3	0	0	6	0	0	0	5	5	0	5	2	197	0.0660	-0.1863	127.40	0.8402	0.5000	0.6338	0.5816	0.3387	0.5813	1447	2043	complement	GSbR_00030	########.[1]		haloacid dehalogenase	0	0
2	0	0	2	1	0	0	1	1	0	1	3	2	2	2	0	2	0	0	5	5	0	1	1	0	2	3	0	1	1	0	0	1	3	0	1	2	0	1	0	0	1	1	2	1	0	1	0	2	1	1	1	1	1	1	3	3	1	0	69	0.0725	+0.9768	125.11	0.5373	0.5821	0.9960	0.6263	0.5000	0.5274	2158	2370	complement	GSbR_00040	########.[1]		hypothetical protein	0	0
1	3	2	0	0	0	3	2	2	0	0	1	1	1	1	2	1	0	4	2	0	1	0	1	2	3	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	3	0	0	0	52	0.0385	+0.4346	124.71	0.6458	0.4167	0.9377	0.4373	0.3846	0.7101	2321	2482	direct	GSbR_00050	########.[1]		hypothetical protein	0	1
1	10	3	2	2	0	6	5	2	7	4	3	1	6	2	2	1	1	0	5	3	2	5	1	2	19	1	0	2	5	3	0	1	5	0	1	4	1	2	2	3	5	1	1	0	0	2	0	0	4	3	2	1	0	2	0	0	2	0	152	0.0592	-0.2487	129.72	0.7500	0.5270	0.8113	0.7055	0.4200	0.6417	2570	3031	complement	GSbR_00060	########.[1]		hypothetical protein	0	0
8	19	8	4	1	0	4	10	0	14	7	0	5	6	2	8	3	11	1	3	3	5	12	0	3	7	2	0	1	0	0	0	3	3	3	1	3	1	2	1	5	2	1	1	1	1	1	1	1	2	3	5	1	0	8	8	3	2	2	216	0.0556	-0.2769	124.01	0.6462	0.5566	0.9374	0.7468	0.4242	0.6297	3312	3965	complement	GSbR_00070	########.[1]		hypothetical protein	0	0
1	2	0	3	1	0	2	0	1	0	1	0	1	1	0	0	1	2	0	4	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	0	1	0	0	0	0	0	2	0	0	0	0	3	2	0	0	0	45	0.0667	+0.4067	132.57	0.7500	0.3500	0.8113	0.3141	0.6154	0.6959	4185	4325	direct	GSbR_00080	########.[1]		hypothetical protein	0	1
0	6	3	2	2	0	7	5	1	3	6	0	1	4	1	1	2	2	0	6	1	4	5	0	7	10	2	0	0	1	1	0	3	2	0	0	7	3	2	0	5	4	0	4	0	0	2	1	0	1	5	1	1	0	3	4	0	1	1	135	0.0667	-0.3504	131.83	0.8045	0.4436	0.7128	0.6258	0.4474	0.6654	4664	5074	complement	GSbR_00090	########.[1]		hypothetical protein	0	0
6	20	6	5	1	0	9	8	7	8	11	2	3	10	9	4	5	4	0	16	4	0	4	0	6	18	2	0	1	8	2	0	4	5	1	1	11	0	3	2	5	12	2	8	0	0	4	2	0	0	6	8	5	3	8	13	3	8	2	300	0.0767	+0.0523	126.65	0.7763	0.4881	0.7669	0.7248	0.5288	0.6232	5341	6246	complement	GSbR_00100	########.[1]		hypothetical protein	0	0
1	14	5	1	0	1	4	4	8	8	4	4	1	5	6	1	2	2	1	5	0	1	0	1	3	11	0	0	3	3	1	1	2	5	1	1	8	0	2	0	8	10	2	5	0	0	3	1	0	0	8	1	0	0	4	5	1	1	3	179	0.0838	-0.4385	131.06	0.7907	0.5000	0.7401	0.6692	0.3273	0.6003	6573	7115	direct	GSbR_00110	########.[1]	dsb	dithiol-disulfide isomerase	0	1
6	5	2	2	2	0	5	4	9	8	3	2	2	1	2	0	2	0	0	6	1	2	1	0	7	6	2	0	1	9	1	0	3	7	1	2	6	1	1	0	3	2	0	1	0	0	1	1	0	2	3	3	2	0	1	7	1	2	1	149	0.0738	-0.3725	131.11	0.7113	0.4507	0.8671	0.7108	0.5750	0.6638	7190	7642	direct	GSbR_00120	########.[1]		hypothetical protein	0	1
7	20	7	6	1	0	7	4	1	3	23	4	7	24	11	10	2	4	3	12	4	0	5	2	8	9	4	2	1	24	12	1	10	14	2	3	6	1	1	0	2	0	1	8	1	4	8	11	2	4	19	8	3	6	8	7	6	4	3	380	0.1079	+0.1366	120.13	0.7108	0.4027	0.8677	0.8245	0.5093	0.6138	7836	8981	complement	GSbR_00130	########.[1]		hypothetical protein	0	0
4	7	3	2	0	0	4	6	6	3	4	2	4	7	2	2	5	1	0	8	1	0	5	0	2	13	1	0	2	2	2	0	11	2	2	0	3	0	3	0	4	5	4	5	0	1	2	2	1	1	5	3	0	2	4	3	2	2	2	171	0.0819	-0.3211	128.31	0.7246	0.4611	0.8492	0.7095	0.4194	0.6573	9214	9732	complement	GSbR_00140	########.[1]		tRNA (N6-threonylcarbamoyladenosine(37)-N6)- methyltransferase TrmO	0	0
12	29	13	3	2	0	16	13	12	18	11	10	9	21	8	6	10	2	3	17	5	6	10	0	11	44	7	0	7	11	6	1	10	11	4	0	16	1	1	3	18	16	6	8	3	1	6	8	0	6	14	7	2	2	17	14	10	5	4	533	0.0638	+0.0103	127.44	0.7345	0.4922	0.8349	0.7750	0.3795	0.6435	9823	11427	complement	GSbR_00150	########.[1]		hypothetical protein	0	0
8	18	7	4	0	0	6	5	12	9	5	3	2	5	5	2	1	2	3	11	3	9	6	0	6	10	3	0	2	7	2	0	9	19	9	4	16	1	2	1	5	8	1	4	1	2	3	0	1	5	14	6	1	1	11	6	5	3	4	299	0.0535	-0.4097	126.40	0.6846	0.4765	0.8993	0.8369	0.4615	0.6091	11558	12460	complement	GSbR_00160	########.[1]		DNA-binding protein	0	0
3	7	2	1	3	1	6	4	6	4	6	2	5	7	4	2	2	2	0	6	2	6	8	0	4	17	1	0	0	5	1	0	2	4	1	1	7	1	2	1	2	4	2	1	2	0	4	3	0	2	5	3	1	3	7	8	2	4	4	197	0.0863	-0.1051	128.85	0.7098	0.4870	0.8689	0.7821	0.5000	0.6275	12620	13216	complement	GSbR_00170	########.[1]		hypothetical protein	0	0
2	5	2	0	0	0	6	4	5	11	3	0	1	4	2	0	0	0	0	2	4	4	5	0	3	12	1	1	3	3	0	0	1	4	1	1	2	0	1	1	6	5	1	0	0	0	1	1	0	0	2	0	0	0	2	3	0	2	0	125	0.0400	-0.5144	134.31	0.7778	0.5299	0.7642	0.6455	0.3750	0.6511	13217	13597	complement	GSbR_00180	########.[1]		DUF1992 domain-containing protein	0	0
2	19	6	4	3	0	10	6	6	8	10	2	2	10	5	5	3	4	1	7	1	0	2	0	8	14	3	1	4	8	1	2	5	5	1	0	10	1	0	0	6	4	2	2	1	0	4	4	0	1	8	2	1	2	5	1	1	4	3	243	0.0947	-0.0551	127.25	0.7696	0.4348	0.7788	0.7009	0.4659	0.6623	13701	14435	complement	GSbR_00190	########.[1]		hypothetical protein	0	0
5	20	7	1	1	1	3	3	3	3	9	3	1	15	9	4	2	2	2	8	2	5	2	0	3	27	2	0	4	4	1	0	1	6	0	0	2	1	1	0	3	1	3	4	1	1	3	2	0	0	5	0	2	2	6	8	1	2	3	227	0.1101	+0.7930	124.03	0.7667	0.4810	0.7838	0.6654	0.3924	0.6477	14616	15302	direct	GSbR_00200	########.[1]		branched-chain amino acid ABC transporter permease	0	1
2	4	7	2	0	0	0	2	1	0	4	0	3	1	6	1	0	0	0	1	2	0	0	0	0	14	2	0	2	1	1	0	2	2	0	0	2	0	0	0	4	3	1	0	0	1	0	5	0	0	3	1	0	2	1	7	1	0	1	101	0.0594	+0.9941	122.54	0.7609	0.6739	0.7936	0.5016	0.4000	0.5432	15305	15613	direct	GSbR_00210	########.[1]		branched-chain amino acid transport	0	1
2	0	3	0	0	0	4	4	5	2	0	2	0	2	1	1	1	0	1	0	2	2	1	0	1	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	2	2	2	60	0.1167	-0.5683	133.16	0.5263	0.5263	0.9980	0.6371	0.2857	0.6146	15745	15930	complement	GSbR_00220	########.[1]		hypothetical protein	0	0
5	18	7	2	5	1	15	8	15	21	7	5	6	22	7	7	3	8	1	22	1	7	13	1	5	30	0	0	1	13	2	0	3	16	1	0	18	0	4	0	16	4	3	9	1	0	10	6	0	5	16	5	1	3	11	15	2	6	8	438	0.0639	-0.3463	128.05	0.7791	0.4679	0.7618	0.6728	0.4485	0.6678	16328	17647	direct	GSbR_00230	########.[1]	lysA	diaminopimelate decarboxylase	0	1
4	15	7	4	4	1	18	15	13	15	18	12	7	14	6	7	1	8	2	23	6	4	15	0	5	16	3	0	4	8	6	1	2	7	0	0	15	1	2	0	12	15	4	7	5	4	9	5	0	3	12	5	0	6	12	11	5	1	7	424	0.0991	-0.2314	130.44	0.6893	0.5000	0.8940	0.7757	0.4676	0.6097	17978	19255	direct	GSbR_00240	########.[1]		hsp70 family protein	0	1
1	5	2	0	2	0	5	1	3	5	0	2	2	3	2	0	2	0	0	6	0	2	6	1	1	8	1	0	1	0	1	0	3	3	0	1	5	0	1	0	3	4	1	2	0	0	1	1	0	1	3	4	1	1	2	4	0	4	2	115	0.0957	-0.4461	133.52	0.8073	0.5046	0.7070	0.6050	0.3667	0.6312	19436	19786	complement	GSbR_00250	########.[1]	hxlR	HxlR family transcriptional regulator	0	0
2	10	5	0	4	0	4	2	3	10	7	2	2	13	4	1	4	3	1	7	2	6	8	0	3	10	0	0	1	12	2	0	2	7	0	1	7	2	0	0	4	2	0	2	1	0	3	1	0	0	7	2	1	3	11	9	2	2	2	210	0.0810	-0.0857	127.95	0.8090	0.4221	0.7035	0.6609	0.4394	0.6832	19933	20568	direct	GSbR_00260	########.[1]		FMN reductase	0	1
3	14	7	4	1	0	9	6	7	6	6	4	5	13	6	0	4	1	1	4	2	9	8	1	4	12	2	0	1	2	0	2	4	7	2	0	7	1	0	1	1	6	0	5	1	2	3	1	0	2	5	5	0	1	8	10	3	0	2	228	0.0658	-0.0912	123.70	0.7195	0.4661	0.8562	0.7617	0.3103	0.5978	20744	21433	direct	GSbR_00270	########.[1]		hypothetical protein	0	1
8	12	6	6	1	1	7	6	11	8	6	6	7	15	10	2	5	3	1	9	5	5	12	1	7	14	3	0	8	4	3	2	8	8	2	4	10	1	2	0	7	6	2	1	1	2	4	6	1	0	13	2	1	4	7	10	6	7	12	338	0.1095	-0.1003	128.82	0.6698	0.5047	0.9151	0.8266	0.3585	0.6075	21500	22519	direct	GSbR_00280	########.[1]		alpha/beta hydrolase	0	1
4	25	13	2	2	0	10	8	13	17	6	2	5	16	11	5	5	6	4	19	4	9	14	0	13	23	4	0	1	9	10	2	17	22	2	0	11	1	8	3	8	5	3	4	2	1	5	4	1	1	9	4	0	4	10	11	3	3	6	424	0.0519	-0.3031	126.73	0.7439	0.4927	0.8208	0.7768	0.3577	0.6195	23046	24323	direct	GSbR_00290	########.[1]		transpeptidase	0	1
3	10	4	5	0	1	2	4	7	2	1	0	0	0	0	1	0	0	2	1	0	2	9	0	1	4	1	0	1	3	1	0	0	0	0	1	7	0	1	0	2	3	1	0	0	1	2	1	0	3	3	0	0	0	1	2	2	0	0	99	0.0101	-0.6374	127.26	0.6316	0.5263	0.9495	0.6882	0.4800	0.6741	24409	24711	direct	GSbR_00300	########.[1]		lipoprotein	0	1
5	14	9	2	2	2	11	4	10	14	9	1	3	10	8	4	5	1	6	10	5	3	17	0	9	12	4	1	2	8	7	0	5	5	2	2	13	3	4	1	3	10	1	10	0	1	5	1	1	0	7	7	1	1	8	4	5	4	7	312	0.0737	-0.4407	128.92	0.7314	0.4951	0.8395	0.7968	0.4348	0.6131	25001	25942	direct	GSbR_00310	########.[1]		transpeptidase	0	1
5	30	10	5	0	0	14	5	9	20	7	2	0	17	9	7	6	0	1	22	4	6	16	2	17	23	2	0	2	7	2	2	11	12	0	2	17	3	3	1	11	29	3	8	0	1	9	4	0	0	18	3	3	3	10	14	2	7	4	438	0.0479	-0.3475	128.54	0.8279	0.4674	0.6625	0.6901	0.4173	0.5998	26140	27459	complement	GSbR_00320	########.[1]	rhlE-2	ATP-dependent RNA helicase RhlE	0	0
4	5	5	4	1	2	0	4	3	13	5	2	3	7	5	1	5	1	4	7	3	4	9	1	5	5	3	1	2	4	3	2	1	1	2	3	6	1	1	4	5	2	4	3	2	0	1	4	2	2	4	4	1	3	3	4	5	5	5	206	0.0971	-0.3277	131.32	0.6070	0.5224	0.9667	0.8595	0.5079	0.5717	27546	28169	complement	GSbR_00330	########.[1]		hypothetical protein	0	0
2	3	2	0	1	0	2	1	5	4	2	0	0	3	0	2	2	2	0	5	5	0	2	0	2	2	6	0	1	3	1	1	2	1	0	1	2	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	4	2	6	1	0	1	87	0.0345	+0.6264	126.88	0.5814	0.5000	0.9808	0.6926	0.4444	0.6059	28068	28334	direct	GSbR_00340	########.[1]		hypothetical protein	0	1
6	10	4	0	1	0	7	3	4	12	3	0	3	8	5	2	4	0	4	9	5	3	11	0	4	6	2	1	2	4	5	1	1	5	0	0	6	2	3	1	1	7	1	5	0	0	1	2	1	0	4	5	1	1	6	3	5	2	2	197	0.0457	-0.3462	127.37	0.7268	0.5052	0.8460	0.7505	0.3962	0.5940	28800	29396	direct	GSbR_00350	########.[1]		hypothetical protein	0	1
53	45	39	48	11	11	17	51	56	39	13	28	18	19	11	21	15	21	12	17	23	38	28	16	23	26	38	24	53	29	35	13	11	13	26	29	38	6	7	10	16	11	26	33	20	12	12	16	19	15	13	13	19	12	16	16	27	12	42	1426	0.0849	-0.2399	128.82	0.4432	0.5539	0.9907	0.9250	0.4672	0.5460	29799	34082	complement	GSbR_00360	########.[1]		hypothetical protein	0	0
1	5	10	1	1	2	2	2	3	10	2	1	1	4	1	4	0	0	1	0	4	4	3	0	1	11	3	0	1	1	1	1	0	5	1	0	1	1	1	0	1	7	2	1	3	0	1	1	0	0	3	4	0	0	1	5	0	1	2	127	0.0630	-0.1669	127.72	0.6885	0.7049	0.8949	0.6658	0.4000	0.5264	34365	34751	complement	GSbR_00370	########.[1]		hypothetical protein	0	1
19	20	9	8	8	1	12	20	17	18	20	6	11	17	12	9	3	3	8	25	10	15	17	4	18	37	10	3	7	17	7	5	16	10	6	5	12	4	9	3	4	15	5	17	9	3	12	15	3	5	13	8	3	5	11	10	4	10	3	633	0.0695	-0.0491	126.85	0.6526	0.4643	0.9317	0.8760	0.5464	0.5912	35012	36916	direct	GSbR_00380	########.[1]		hypothetical protein	0	0
6	11	11	2	2	1	10	11	5	13	6	3	1	19	6	4	0	4	1	12	3	3	6	1	5	29	2	0	6	4	2	0	9	11	1	1	10	0	2	2	10	14	2	3	2	1	3	2	0	0	11	3	1	1	5	15	1	2	5	315	0.0540	-0.0765	127.38	0.7843	0.5621	0.7522	0.6994	0.3474	0.6320	37037	37987	complement	GSbR_00390	########.[1]		hypothetical protein	0	1
0	3	1	0	5	0	6	3	3	2	5	1	0	6	2	1	5	3	0	3	2	0	8	0	2	6	1	0	0	5	0	0	2	3	0	2	0	0	0	1	2	5	1	2	0	0	2	1	0	1	0	0	0	0	4	2	0	3	3	110	0.1273	-0.6945	135.44	0.7944	0.4206	0.7330	0.5365	0.4865	0.6755	38109	38444	complement	GSbR_00400	########.[1]		hypothetical protein	0	1
4	3	3	2	2	1	6	3	6	6	0	2	1	2	3	3	0	1	0	2	2	4	5	1	4	12	1	0	2	4	2	1	0	4	0	1	5	0	1	2	2	1	2	1	2	1	0	1	0	1	2	3	0	2	4	7	0	0	1	138	0.0580	-0.2051	129.88	0.6489	0.5725	0.9351	0.7475	0.4815	0.6086	38486	38905	complement	GSbR_00410	########.[1]	vapC	ribonuclease VapC	0	1
1	2	1	1	0	0	3	5	2	4	2	1	0	2	0	1	2	2	0	0	1	4	1	1	2	6	1	0	2	1	2	0	0	3	1	2	5	0	2	0	3	2	2	3	0	0	2	3	1	2	2	1	0	1	2	1	2	1	0	92	0.0543	-0.9196	133.13	0.6374	0.5604	0.9449	0.7851	0.4500	0.6027	38902	39183	complement	GSbR_00420	########.[1]		antitoxin	0	1
1	2	3	0	0	1	3	4	5	5	2	1	1	2	1	3	0	0	0	3	3	4	7	0	3	2	1	0	1	2	2	1	0	2	1	1	1	0	3	0	3	3	1	2	0	1	0	1	1	0	1	2	1	0	5	1	3	1	2	101	0.0693	-0.7347	132.37	0.6162	0.5657	0.9607	0.8073	0.4643	0.5795	39281	39589	complement	GSbR_00430	########.[1]		hypothetical protein	0	1
2	1	2	0	0	0	2	1	4	2	1	1	1	1	1	1	2	1	3	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	1	4	1	1	1	0	1	2	0	3	0	0	0	1	0	0	0	2	1	2	1	2	58	0.1034	-0.6621	134.54	0.5965	0.4737	0.9730	0.6909	0.4000	0.6081	39570	39749	complement	GSbR_00440	########.[1]		hypothetical protein	0	1
2	32	1	5	7	0	20	2	9	21	17	5	0	27	6	3	1	2	1	24	4	5	22	0	7	15	0	0	4	18	3	0	10	11	0	0	4	0	2	0	16	0	0	5	1	0	7	4	1	0	18	4	1	1	9	18	1	20	1	409	0.1198	-0.1540	128.57	0.8816	0.3552	0.5247	0.5292	0.4703	0.7483	39935	41167	complement	GSbR_00450	########.[1]	dapL	LL-diaminopimelate aminotransferase	0	1
5	26	12	5	4	0	25	9	11	15	17	11	3	14	11	3	3	5	1	22	4	5	20	0	16	37	9	0	4	10	4	0	9	11	0	1	19	0	6	1	12	13	3	12	1	0	12	6	2	2	21	1	1	1	7	26	2	10	0	507	0.0789	+0.0278	129.10	0.8184	0.4898	0.6836	0.6671	0.4667	0.6534	41214	42740	complement	GSbR_00460	########.[1]		diguanylate cyclase	0	1
9	17	10	3	1	0	5	9	12	6	4	4	3	7	2	1	1	3	4	10	4	11	18	0	3	21	2	0	5	12	3	0	4	6	2	0	7	0	0	0	2	1	1	4	0	0	3	3	2	2	7	4	0	5	5	5	4	4	4	267	0.0599	-0.0333	125.69	0.6679	0.4906	0.9170	0.8042	0.4512	0.6725	42881	43687	complement	GSbR_00470	########.[1]		methionine ABC transporter substrate-binding protein	0	1
5	9	5	3	0	0	3	3	4	3	3	3	5	7	4	3	0	0	10	10	10	3	5	0	4	17	1	1	3	2	2	0	4	5	1	0	4	5	1	0	1	2	1	1	2	0	5	5	0	4	7	5	1	1	7	9	3	2	5	217	0.0599	+0.8512	124.07	0.6364	0.5072	0.9457	0.8124	0.3788	0.6328	43703	44359	complement	GSbR_00480	########.[1]		methionine ABC transporter permease	0	1
