Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
3	4	5	3	2	2	3	1	2	1	2	1	2	7	2	0	1	1	0	3	3	0	4	0	4	3	1	0	0	4	4	0	3	3	0	3	1	0	1	1	2	1	1	4	2	2	4	3	1	1	5	3	0	0	2	7	1	2	3	126	0.0794	-0.0960	122.73	0.6935	0.4677	0.8890	0.7636	0.3571	0.3227	438	821	complement	LILAB_RS37960	WP_123784012.1		hypothetical protein	0	1
1	8	9	3	5	1	3	2	0	14	7	0	3	9	3	2	4	1	0	8	1	0	3	0	3	9	1	0	2	4	0	2	1	6	1	0	2	0	8	5	13	5	0	4	2	1	3	8	1	2	4	7	1	0	4	2	0	6	0	197	0.0812	-0.5985	129.73	0.8454	0.4845	0.6213	0.5972	0.4921	0.4577	1812	2408	complement	LILAB_RS00015	WP_013935114.1		hypothetical protein	0	1
1	26	31	3	5	0	38	4	2	42	28	2	2	28	9	1	11	4	0	20	2	2	34	0	45	21	1	0	5	11	3	1	9	16	2	4	23	0	5	4	20	6	9	9	1	0	6	13	2	0	11	18	2	1	20	15	4	9	1	611	0.0851	-0.3303	130.30	0.9020	0.4713	0.4625	0.5406	0.4770	0.6341	2452	4290	complement	LILAB_RS00020	WP_013935115.1		DUF262 domain-containing protein	0	1
1	5	6	2	1	0	0	0	1	6	2	0	0	6	1	1	1	0	0	1	0	0	1	0	1	3	1	0	0	0	0	2	1	2	0	1	1	0	0	2	1	6	1	0	0	1	1	1	0	0	2	2	0	0	1	2	0	0	0	67	0.0299	-0.4567	121.95	0.8060	0.5373	0.7098	0.6004	0.3500	0.4828	4742	4948	complement	LILAB_RS37965	WP_123784013.1		hypothetical protein	0	1
2	6	19	1	6	2	5	0	1	8	3	0	1	10	10	0	2	2	0	1	1	0	4	0	7	9	2	0	0	0	0	1	2	11	1	0	6	0	2	2	14	8	1	3	0	0	1	3	0	0	1	2	1	0	3	7	0	2	0	180	0.0556	-0.3656	126.26	0.8960	0.5780	0.4817	0.5323	0.2143	0.5581	5314	5859	direct	LILAB_RS00030	WP_013935117.1		hypothetical protein	0	0
4	21	18	2	11	3	12	3	3	15	12	1	8	14	4	4	3	6	1	6	0	1	6	0	13	10	1	0	2	13	7	1	16	7	4	2	10	2	1	0	9	5	2	13	1	2	9	7	1	2	12	8	5	1	13	11	1	5	3	370	0.0730	-0.2211	123.99	0.8011	0.4146	0.7197	0.7245	0.4034	0.4884	7592	8707	complement	LILAB_RS00045	WP_050989089.1		hypothetical protein	0	1
3	16	10	3	0	0	4	5	5	11	3	1	5	4	4	3	0	3	1	7	0	2	4	1	12	11	3	0	2	4	1	2	7	2	4	2	3	2	3	0	14	4	2	0	3	2	4	2	1	0	9	1	0	0	10	5	0	5	0	221	0.0588	-0.1959	127.44	0.7488	0.4233	0.8131	0.7098	0.4189	0.4184	8956	9624	complement	LILAB_RS00050	WP_082207020.1		TetR/AcrR family transcriptional regulator	0	1
3	23	11	2	3	1	24	4	3	24	19	2	4	14	5	3	5	0	2	9	3	4	6	0	10	16	3	0	7	5	1	1	7	3	3	1	4	1	2	4	18	6	2	8	1	1	1	5	1	0	6	4	2	1	21	4	0	11	1	340	0.1059	-0.1641	129.73	0.8388	0.3761	0.6372	0.6529	0.4390	0.5002	9694	10719	direct	LILAB_RS00055	WP_013935122.1		hypothetical protein	0	0
2	26	34	1	0	0	14	5	0	28	14	0	6	28	8	2	5	0	0	7	0	0	18	0	20	41	1	0	0	8	0	1	10	19	4	1	12	0	5	3	26	7	0	10	0	0	10	7	0	0	10	9	0	0	9	27	0	12	0	455	0.0681	-0.1424	124.97	0.9422	0.5067	0.3186	0.4544	0.3478	0.7160	10966	12336	direct	LILAB_RS00060	WP_013935123.1		hypothetical protein	0	0
1	35	25	1	4	0	29	2	4	31	21	1	2	21	6	2	11	2	0	10	2	0	7	0	24	24	0	0	0	15	1	2	14	18	1	0	15	0	1	1	31	10	0	11	2	0	10	13	0	0	14	16	1	1	13	29	0	14	1	506	0.0810	-0.2727	127.43	0.9459	0.4228	0.3036	0.4790	0.3765	0.7626	12762	14285	direct	LILAB_RS00065	WP_013935124.1		DUF1592 domain-containing protein	0	0
