ACCESSION	GC	GC3s	S_value	Size	cds	delta_enc	highlyExpressed	rRNA	tRNA
GCF_000007985.2_ASM798v2_genomic	60.9	76.97	-0.3536	3814128	3430	-0.0797	43	6	49
GCF_000012685.1_ASM1268v1_genomic	68.9	88.74	0.7469	9139763	7340	0.0986	44	12	66
GCF_000012885.1_ASM1288v1_genomic	55.1	63.72	-0.1649	3665893	3229	0.0146	43	6	54
GCF_000012925.1_ASM1292v1_genomic	59.5	75.65	-0.6522	3997420	3558	-0.1256	43	6	49
GCF_000015045.1_ASM1504v1_genomic	59.0	75.16	-0.8147	4008000	3612	-0.1245	42	12	53
GCF_000016745.1_ASM1674v1_genomic	54.2	65.58	-0.5627	5136364	4504	-0.0436	42	6	49
GCF_000020385.1_ASM2038v1_genomic	54.8	62.72	-0.2756	3917761	3585	0.0217	41	6	45
GCF_000020725.1_ASM2072v1_genomic	60.3	80.68	0.1808	4615150	4042	0.0846	42	12	58
GCF_000022145.1_ASM2214v1_genomic	74.7	97.06	NA	5029329	4501	0.0413	44	6	49
GCF_000022265.1_ASM2226v1_genomic	53.5	62.68	-0.1289	4304501	3785	-0.0144	42	6	49
GCF_000023645.1_ASM2364v1_genomic	60.5	81.23	0.2033	4745806	4124	0.0724	42	12	58
GCF_000067165.1_ASM6716v1_genomic	71.4	91.78	0.6949	13033779	9681	0.0712	44	12	61
GCF_000165485.1_ASM16548v1_genomic	67.5	86.83	0.6777	10260756	8355	0.1082	45	6	50
GCF_000175115.2_ASM17511v2_genomic	61.2	82.71	0.1639	5277406	4504	0.0711	42	12	59
GCF_000210155.1_ASM21015v1_genomic	61.0	77.14	-0.3524	3714272	3331	-0.0837	42	6	48
GCF_000255295.1_ASM25529v1_genomic	69.9	91.91	0.4385	10080619	8067	0.0484	43	9	60
GCF_000331735.1_ASM33173v1_genomic	69.2	90.21	0.2833	10350586	8048	0.0599	43	9	82
GCF_000817955.1_ASM81795v1_genomic	62.3	81.61	-1.0317	3618700	3264	-0.2113	42	9	51
GCF_000827125.1_ASM82712v1_genomic	57.0	67.8	-0.1914	3475523	3254	-0.0213	42	9	52
GCF_000961035.1_ASM96103v1_genomic	60.2	75.87	-0.2949	4566144	4143	-0.0655	42	6	51
GCF_001278055.1_ASM127805v1_genomic	61.2	78.53	-0.0727	3958620	3508	-0.0493	42	6	55
GCF_001628815.1_ASM162881v1_genomic	61.8	78.77	-0.2783	3555507	3246	-0.1168	43	6	48
GCF_001888165.1_ASM188816v1_genomic	57.4	68	-0.0880	3192352	2904	-0.0452	43	12	53
GCF_003574175.1_ASM357417v1_genomic	60.7	76.5	-0.3013	3726411	3354	-0.0763	42	6	49
GCF_008330225.1_ASM833022v1_genomic	61.1	80.2	-0.0677	4099068	3782	-0.0042	41	6	52
GCF_900187405.1_IMG-taxon_2728369264_annotated_assembly_genomic	56.1	66.03	-0.1103	3957783	3486	0.0302	42	6	49
Geobacter_sp._SbR	58.4	73.15		546751	492		2	0	7
